;ADH3 (YMR083W);ALD5 (YER073W);ALD6 (YPL061W);COX5A (YNL052W);CTP1 (YBR291C);DAL7 (YIR031C);FUM1 (YPL262W);GCV2 (YMR189W);GLY1 (YEL046C);GND2 (YGR256W);GPD1 (YDL022W);ICL1 (YER065C);IDP1 (YDL066W);IDP2 (YLR174W);LSC1 (YOR142W);MAE1 (YKL029C);MDH1 (YKL085W);MDH3 (YDL078C);OAC1 (YKL120W);PCK1 (YKR097W);PDA1 (YER178W);PGM1 (YKL127W);PGM2 (YMR105C);RPE1 (YJL121C);SDH1 (YKL148C);SER33 (YIL074C);SFC1 (YJR095W);SOL3 (YHR163W);SOL4 (YGR248W);TAL1 (YLR354C);ZWF1 (YNL241C)
r_0015;0.0013503861703943422;0.0015191844416936413;0.00044060506231058584;0.0012472316712669803;0.0013026939154323863;0.0013410084886554964;0.000838454311457236;0.0014808963826501975;0.001228476307789289;0.0014535406695216954;0.0015379398051713386;0.001472296032999385;0.0014047528675787844;0.001256339403626798;0.0016692273495152276;0.001148850538952812;0.0009350121343249597;0.00135038617039433;0.0010971887634453944;0.0012566093530058397;0.0007424830316649244;0.0013785192156108997;0.0015098067599547834;0.0004311997780291026;0.001256609353005834;0.0013597638521331886;0.0012094231334552712;0.0011440771721396394;0.001491051396477096;0.0011440771721396566;0.0006094737376811436
r_0016;0.2628478939747371;0.2957038807215805;0.0857622176840908;0.2427692354072193;0.25356476515537457;0.2610225613776911;0.16320216749273675;0.2882512453905991;0.23911857021312724;0.28292655254225324;0.2993545459156737;0.2865772177363449;0.27343017937619374;0.24454202331200403;0.3249092022743277;0.2236196958143504;0.18199680634789872;0.26284789397473474;0.2135639138544722;0.24459456800426804;0.1445216971735666;0.2683238917658792;0.2938785481245321;0.08393151234970513;0.24459456800426693;0.2646732265717833;0.23540993718871797;0.22269057683970558;0.29022788293044083;0.22269057683970891;0.11863190833450138
r_0017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0018;0.39038436562309164;0.43918241132597996;0.1273749180134239;0.3605633376935452;0.3765969682795444;0.3876733630840435;0.24238951913036458;0.4281136815297844;0.35514133261544895;0.4202053935526356;0.4446044164040779;0.4256273986307313;0.4061012835364122;0.3631963003212016;0.4825584519507658;0.3321222467154493;0.2703035079230338;0.39038436562308815;0.3171872970687595;0.36327434023259736;0.21464509460858724;0.3985173732402419;0.4364714087869283;0.12465593583023149;0.3632743402325957;0.39309536816214;0.34963323312616024;0.33074230976400487;0.4310494037088332;0.3307423097640098;0.17619331689327605
r_0019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0020;0.36051218670224705;0.40557621004002964;0.11762819996837155;0.3329730613291544;0.0;0.35800862985014914;0.2238418934526742;0.3953544585196436;0.3279659476249586;0.3880513120753374;0.410583323744227;0.39305842577953276;0.3750264473748209;0.33540454987733603;0.44563311967361074;0.49353226607304973;0.24961990616372406;0.36051218670224383;0.29291615169557345;0.335476618181256;0.19822046996872678;0.3680228572585462;0.4030726531879285;0.11511727407383011;0.33547661818125446;0.3630157435543452;0.3228793274466951;0.3054339359560673;0.39806553948373374;0.30543393595607193;0.16271101905972346
r_0021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_0023;-0.40429743525745754;-0.45483461466464165;-0.13191448532207842;-0.373413603397508;-0.39001866316581746;-0.4014898141792819;-0.2510281393090149;-0.44337140183587737;-0.3677983612411568;-0.4351812671174045;-0.4604498568209947;-0.44079650927375524;-0.4205744948993452;-0.3761404032676595;-0.49975655191546814;-0.3439588886319328;-0.2799369662766849;-0.40429743525745393;-0.3284916661466817;-0.3762212244756878;-0.22229491978331675;-0.41272029849199054;-0.4520269935864624;-0.12909860020992525;-0.37622122447568607;-0.40710505633563343;-0.3620939563193357;-0.34252977153756475;-0.44641175143011236;-0.3425297715375699;-0.182472743281506
r_0024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
