Reactions;ADH3 (YMR083W);ALD5 (YER073W);ALD6 (YPL061W);COX5A (YNL052W);CTP1 (YBR291C);DAL7 (YIR031C);FUM1 (YPL262W);GCV2 (YMR189W);GLY1 (YEL046C);GND2 (YGR256W);GPD1 (YDL022W);ICL1 (YER065C);IDP1 (YDL066W);IDP2 (YLR174W);LSC1 (YOR142W);MAE1 (YKL029C);MDH1 (YKL085W);MDH3 (YDL078C);OAC1 (YKL120W);PCK1 (YKR097W);PDA1 (YER178W);PGM1 (YKL127W);PGM2 (YMR105C);RPE1 (YJL121C);SDH1 (YKL148C);SER33 (YIL074C);SFC1 (YJR095W);SOL3 (YHR163W);SOL4 (YGR248W);TAL1 (YLR354C);ZWF1 (YNL241C)
r_0038;0,0027;0,0030;0,0009;0,0025;0,0026;0,0027;0,0017;0,0030;0,0025;0,0029;0,0031;0,0029;0,0028;0,0025;0,0033;0,0023;0,0019;0,0027;0,0022;0,0025;0,0015;0,0028;0,0030;0,0009;0,0025;0,0027;0,0024;0,0023;0,0030;0,0023;0,0012
r_0039;0,3605;0,4056;0,1176;0,3330;0,3478;0,3580;0,2238;0,3954;0,3280;0,3880;0,4106;0,3931;0,3750;0,3354;0,4456;0,4935;0,2496;0,3605;0,2929;0,3355;0,1982;0,3680;0,4031;0,1151;0,3355;0,3630;0,3229;0,3054;0,3981;0,3054;0,1627
r_0040;0,3605;0,4056;0,1176;0,3330;0,3478;0,3580;0,2238;0,3954;0,3280;0,3880;0,4106;0,3931;0,3750;0,3354;0,4456;0,4935;0,2496;0,3605;0,2929;0,3355;0,1982;0,3680;0,4031;0,1151;0,3355;0,3630;0,3229;0,3054;0,3981;0,3054;0,1627
r_0041;0,0006;0,0007;0,0002;0,0005;0,0006;0,0006;0,0004;0,0006;0,0005;0,0006;0,0007;0,0006;0,0006;0,0005;0,0007;0,0005;0,0004;0,0006;0,0005;0,0005;0,0003;0,0006;0,0007;0,0002;0,0005;0,0006;0,0005;0,0005;0,0006;0,0005;0,0003
r_0042;0,0000;0,0000;0,0000;0,0000;0,3478;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0043;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0044;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0045;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0057;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0058;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0059;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
r_0060;-0,4043;-0,4548;-0,1319;-0,3734;-0,3900;-0,4015;-0,2510;-0,4434;-0,3678;-0,4352;-0,4604;-0,4408;-0,4206;-0,3761;-0,4998;-0,3440;-0,2799;-0,4043;-0,3285;-0,3762;-0,2223;-0,4127;-0,4520;-0,1291;-0,3762;-0,4071;-0,3621;-0,3425;-0,4464;-0,3425;-0,1825
r_0061;0,4043;0,4548;0,1319;0,3734;0,3900;0,4015;0,2510;0,4434;0,3678;0,4352;0,4604;0,4408;0,4206;0,3761;0,4998;0,3440;0,2799;0,4043;0,3285;0,3762;0,2223;0,4127;0,4520;0,1291;0,3762;0,4071;0,3621;0,3425;0,4464;0,3425;0,1825
