Reaction;Reaction_name;Yeast7_ID;ADH3;Real Flux;ALD5;Real Flux;ALD6;Real Flux;COX5A;Real Flux;CTP1;Real Flux;DAL7;Real Flux;FUM1;Real Flux;GND2;Real Flux;GCV2;Real Flux;GLY1;Real Flux;GPD1;Real Flux;ICL1;Real Flux;IDP1;Real Flux;IDP2;Real Flux;LSC1;Real Flux;MAE1;Real Flux;MDH1;Real Flux;MDH3;Real Flux;OAC1;Real Flux;PCK1;Real Flux;PDA1;Real Flux;PGM1;Real Flux;PGM2;Real Flux;RPE1;Real Flux;SDH1;Real Flux;SER33;Real Flux;SFC1;Real Flux;SOL3;Real Flux;SOL4;Real Flux;TAL1;Real Flux;ZWF1;Real Flux
D-Fructose-6-phosphate + D-Glyceraldehyde-3-phosphate <==> D-Erythrose-4-phosphate + D-Xylulose-5-phosphate;R01830;r_1050;3,370228466;0,485312899;1,79558011;0,290883978;-0,105418511;-0,00495467;2,257318952;0,300223421;3,020463641;0,419844446;2,146402853;0,306935608;2,5395411;0,23109824;2,017893293;0,31277346;0,921372097;0,147419536;1,846601793;0,241904835;2,675462708;0,438775884;1,828200972;0,287027553;2,742465362;0,411369804;1,256074766;0,168314019;2,335224793;0,415670013;2,610190685;0,326273836;1,442212055;0,144221205;2,711171662;0,390408719;3,498211637;0,409290762;2,285408545;0,306244745;1,235007719;0,098800618;1,682102969;0,247269136;2,027363184;0,326405473;2,924576706;0,134530528;2,285408545;0,306244745;3,152399438;0,457097918;1,629675617;0,210228155;1,683559526;0,205394262;2,23071621;0,354683877;1,393485455;0,170005226;0,3539006;0,023003539
D-Glucose-6-phosphate <==> D-Glucono-1,5-lactone-6-phosphate;R02736;r_0466;12,55853555;1,808429119;7,791310899;1,262192366;2,361374657;0,110984609;8,613251156;1,145562404;11,66654081;1,621649173;8,704467594;1,244738866;9,779460904;0,889930942;8,104225168;1,256154901;4,930585818;0,788893731;7,800168569;1,021822083;9,999389164;1,639899823;7,818476499;1,22750081;10,70561348;1,605842023;6,287850467;0,842571963;9,149934526;1,628688346;10,80806502;1,351008128;7,012134474;0,701213447;10,69482289;1,540054496;10,65166187;1,246244439;6,986165253;0,936146144;3,835648973;0,306851918;5,216562245;0,76683465;6,25;1,00625;9,004617753;0,414212417;6,986165253;0,936146144;9,597751155;1,391673917;5,051994413;0,651707279;5,248239134;0,640285174;6,842533993;1,087962905;4,363351333;0,532328863;1,215571626;0,079012156
D-Glucose-6-phosphate <==> D-Fructose-6-phosphate;R02740;r_0467;82,37547893;11,86206897;87,24259166;14,13329985;92,13577904;4,330381615;87,58089368;11,64825886;82,93438043;11,52787888;86,68810739;12,39639936;85,72065048;7,800579194;87,65754588;13,58691961;90,61819087;14,49891054;87,54118458;11,46789518;85,37658054;14,00175921;87,38411669;13,71930632;84,13798029;12,62069704;87,96261682;11,78699065;86,46333479;15,39047359;83,08846515;10,38605814;87,49751343;8,749751343;84,0599455;12,10463215;84,46305505;9,88217744;88,69525338;11,88516395;92,3999525;7,3919962;89,58049578;13,16833288;88,4141791;14,23468284;82,55515649;3,797537199;88,69525338;11,88516395;86,21912857;12,50177364;89,92705262;11,60058979;88,83353376;10,83769112;88,55818034;14,08075067;89,52273123;10,92177321;94,07601169;6,11494076
D-Fructose-6-phosphate <==> D-Fructose-1,6-bisphosphate;R04779;r_0886;89,87512417;12,94201788;91,58086389;14,83609995;92,74720641;4,359118701;92,67334361;12,3255547;89,79083289;12,48092577;91,68705866;13,11124939;91,46803297;8,323591;92,33331157;14,31166329;93,13328768;14,90132603;91,93165275;12,04304651;91,33223383;14,97848635;91,76661264;14,40735818;90,3942294;13,55913441;91,25233645;12,22781308;91,80488869;16,34127019;89,23100969;11,15387621;91,2174259;9,12174259;90,27929155;13,00021798;90,73540958;10,61604292;92,61637239;12,4105939;94,2880893;7,543047144;92,21601743;13,55575456;91,72263682;14,76734453;87,37814264;4,019394561;92,61637239;12,4105939;91,88809317;13,32377351;92,42588856;11,92293962;91,32451469;11,14159079;92,32408046;14,67952879;91,38651803;11,1491552;94,07601169;6,11494076
Pyruvate <==> Acetaldehyde;R00750;r_0959;147,3353847;21,21629539;146,0475944;23,65971029;146,7909221;6,899173337;143,8457029;19,13147849;144,1766614;20,04055593;151,4967312;21,66403257;141,1137125;12,84134784;156,2533436;24,21926825;151,3400285;24,21440456;152,0168998;19,91421387;151,7437312;24,88597192;155,7976231;24,46022683;147,5392841;22,13089261;148,4471741;19,89192132;152,4422804;27,13472592;135,0160598;16,87700748;144,4923658;14,44923658;143,0562939;20,60010632;149,9778668;17,54741041;152,9243613;20,49186441;138,5323757;11,08259006;140,1120063;20,59646492;145,5709088;23,43691632;98,40681208;4,526713355;152,9243613;20,49186441;149,6065936;21,69295608;147,5898754;19,03909393;140,3783841;17,12616286;152,9333798;24,31640739;144,1742599;17,5892597;97,40318508;6,33120703
Acetaldehyde <==> Ethanol;R02679;r_0186;139,319149;20,06195746;137,3393225;22,24897024;142,0206069;6,674968524;139,4887174;18,55199942;134,0140597;18,62795431;142,4404676;20,36898686;128,8652997;11,72674227;146,5782074;22,71962215;146,7781248;23,48449997;143,1846679;18,75719149;146,1597888;23,97020537;145,7484044;22,88249949;138,0240128;20,70360192;139,9868261;18,7582347;142,1144049;25,29636408;125,7667601;15,72084501;133,4298111;13,34298111;134,3665708;19,3487862;138,4161747;16,19469244;144,3773375;19,34656322;100,5170733;8,041365862;131,6504463;19,35261561;136,2158497;21,9307518;85,35094782;3,9261436;144,3773375;19,34656322;143,7964774;20,85048922;139,1900888;17,95552145;130,8549465;15,96430348;143,8678065;22,87498123;133,5749214;16,29614041;86,19348019;5,602576212
Acetaldehyde <==> Acetate;R00634;r_2116;8,016235621;1,154337929;8,708271896;1,410740047;4,770315168;0,224204813;4,356985491;0,57947907;10,16260161;1,412601624;9,056263681;1,295045706;12,24841281;1,114605566;9,675136151;1,499646103;4,561903651;0,729904584;8,832231897;1,157022378;5,583942383;0,915766551;10,04921869;1,577727334;9,515271269;1,42729069;8,460347923;1,133686622;10,32787552;1,838361843;9,249299763;1,15616247;11,06255472;1,106255472;8,689723068;1,251320122;11,5616921;1,352717976;8,547023822;1,145301192;38,01530243;3,041224194;8,461559936;1,243849311;9,355059146;1,506164522;13,05586425;0,600569756;8,547023822;1,145301192;5,810116273;0,84246686;8,399786648;1,083572478;9,523437515;1,161859377;9,065573322;1,441426158;10,59933851;1,293119298;11,2097049;0,728630818
Acetate <==> Acetyl-CoA;R00229;r_0112;3,75908116;0,541307687;3,685602754;0,597067646;4,137830774;0,194478046;2,816096895;0,374540887;4,121818723;0,572932803;3,462983583;0,495206652;3,33800126;0,303758115;3,144556333;0,487406232;3,316808432;0,530689349;3,468637488;0,454391511;3,140523927;0,515045924;3,566356166;0,559917918;3,80163198;0,570244797;3,974510072;0,53258435;4,326208445;0,770065103;4,560174466;0,570021808;4,100496983;0,410049698;3,921356752;0,564675372;6,327241631;0,740287271;3,196606219;0,428345233;29,70238941;2,376191152;3,694548085;0,543098568;3,75790102;0,605022064;5,35948044;0,2465361;3,196606219;0,428345233;3,132937104;0,45427588;3,743743767;0,482942946;4,369713858;0,533105091;3,425954437;0,544726755;4,502636974;0,549321711;3,515716446;0,228521569
Pyruvate <==> Pyruvate-mit;transport;r_2034;11,61552116;1,672635047;11,7790326;1,908203282;12,17158637;0,57206456;8,281280109;1,101410254;12,77562308;1,775811608;10,41738824;1,489686519;12,15764636;1,106345819;9,489351614;1,4708495;9,690666944;1,550506711;11,13155206;1,45823332;10,20629306;1,673832061;8,747743311;1,3733957;11,94139298;1,791208947;11,22900745;1,504686999;8,700804894;1,548743271;17,38082276;2,172602845;12,86958042;1,286958042;13,89828576;2,001353149;9,203082684;1,076760674;10,54192877;1,412618456;4,027290909;0,322183273;13,94570128;2,050018089;13,62434032;2,193518792;37,37953952;1,719458818;10,54192877;1,412618456;9,122288991;1,322731904;12,81743971;1,653449722;16,11372289;1,965874193;10,43686081;1,659460869;14,02611744;1,711186328;47,90350001;3,113727501
Oxaloacetate <==> Oxaloacetate-mit;transport;r_1239;10,72518654;1,544426862;10,15738658;1,645496626;7,772286975;0,365297488;5,917235218;0,786992284;8,364736594;1,162698387;5,193125666;0,74261697;8,262091327;0,751850311;4,493867126;0,696549405;9,244567626;1,47913082;6,035685837;0,790674845;5,714059982;0,937105837;4,264388483;0,669508992;5,954419265;0,89316289;4,570539346;0,612452272;4,428786825;0,788324055;13,66650689;1,708313362;7,515348573;0,751534857;7,948526461;1,14458781;9,0298134;1,056488168;7,11807589;0,953822169;25,53673493;2,042938794;10,65659319;1,566519199;19,96922543;3,215045295;23,09567978;1,06240127;7,11807589;0,953822169;7,08829441;1,027802689;9,849025656;1,27052431;13,74757037;1,677203585;4,701830959;0,747591122;6,818712751;0,831882956;28,65834546;1,862792455
