;ADH3 (YMR083W)_maximum;ADH3 (YMR083W)_minimum;ALD5 (YER073W)_maximum;ALD5 (YER073W)_minimum;ALD6 (YPL061W)_maximum;ALD6 (YPL061W)_minimum;COX5A (YNL052W)_maximum;COX5A (YNL052W)_minimum;CTP1 (YBR291C)_maximum;CTP1 (YBR291C)_minimum;DAL7 (YIR031C)_maximum;DAL7 (YIR031C)_minimum;FUM1 (YPL262W)_maximum;FUM1 (YPL262W)_minimum;GCV2 (YMR189W)_maximum;GCV2 (YMR189W)_minimum;GLY1 (YEL046C)_maximum;GLY1 (YEL046C)_minimum;GND2 (YGR256W)_maximum;GND2 (YGR256W)_minimum;GPD1 (YDL022W)_maximum;GPD1 (YDL022W)_minimum;ICL1 (YER065C)_maximum;ICL1 (YER065C)_minimum;IDP1 (YDL066W)_maximum;IDP1 (YDL066W)_minimum;IDP2 (YLR174W)_maximum;IDP2 (YLR174W)_minimum;LSC1 (YOR142W)_maximum;LSC1 (YOR142W)_minimum;MAE1 (YKL029C)_maximum;MAE1 (YKL029C)_minimum;MDH1 (YKL085W)_maximum;MDH1 (YKL085W)_minimum;MDH3 (YDL078C)_maximum;MDH3 (YDL078C)_minimum;OAC1 (YKL120W)_maximum;OAC1 (YKL120W)_minimum;PCK1 (YKR097W)_maximum;PCK1 (YKR097W)_minimum;PDA1 (YER178W)_maximum;PDA1 (YER178W)_minimum;PGM1 (YKL127W)_maximum;PGM1 (YKL127W)_minimum;PGM2 (YMR105C)_maximum;PGM2 (YMR105C)_minimum;RPE1 (YJL121C)_maximum;RPE1 (YJL121C)_minimum;SDH1 (YKL148C)_maximum;SDH1 (YKL148C)_minimum;SER33 (YIL074C)_maximum;SER33 (YIL074C)_minimum;SFC1 (YJR095W)_maximum;SFC1 (YJR095W)_minimum;SOL3 (YHR163W)_maximum;SOL3 (YHR163W)_minimum;SOL4 (YGR248W)_maximum;SOL4 (YGR248W)_minimum;TAL1 (YLR354C)_maximum;TAL1 (YLR354C)_minimum;ZWF1 (YNL241C)_maximum;ZWF1 (YNL241C)_minimum
r_0015;0.0013503861703909718;0.0012153475533537945;0.0015191844416954795;0.00136726599752317;0.00044060506052748515;0.0003965445544738489;0.0012472316712687696;0.001122508504139484;0.0013026939154322024;0.0011724245238894108;0.0013410084886546466;0.0012069076397901652;0.0008384543114567674;0.0007546088803114846;0.0014808963826481484;0.0013328067443859725;0.0012284763077903967;0.001105628677009102;0.0014535406695235717;0.0013081866025691454;0.0015379398051685571;0.0013841458246544266;0.0014722960330001624;0.001325066429699743;0.0014047528675798493;0.001264277580821033;0.00125633940362671;0.0011307054632638946;0.0016692273495176849;0.0015023046145639174;0.0011488505389525127;0.0010339654850565917;0.0009350121304835463;0.0008415109174367013;0.0013503861703991614;0.0012153475533539196;0.0010971887634443334;0.0009874698871038595;0.0012566093530075862;0.0011309484177056308;0.0007424830316649328;0.0006682347284943658;0.0013785192156132633;0.001240667294048964;0.0015098067599547491;0.0013588260839589054;0.0004311997780279804;0.0003880798002256121;0.0012566093530041063;0.001130948417705413;0.0013597638521339712;0.0012237874669207738;0.001209423133453668;0.001088480820111112;0.001144077172140474;0.0010296694549255477;0.0014910513964759278;0.0013419462568275487;0.0011440771721369502;0.0010296694549268817;0.0006094737376800014;0.0005485263639127652
r_0016;1.4188788940310448;0.23656310457704657;1.5962387558328894;0.2661334926492069;0.46308073245294756;0.07718599560314209;1.3104923118438139;0.2184923118663419;1.369765249526041;0.22820828863988826;1.4090255683907575;0.23492030523996438;0.8940398454764867;0.1468819507434576;1.5751637338372249;0.25942612085169375;1.2907856605809764;0.21520671319156956;1.527265476255105;0.25463389728795377;1.6159454070878345;0.26941909132414943;1.5469721275459425;0.2579194959627681;1.4696259188739365;0.2460871614385991;1.3141003285225092;0.22008782098076005;1.7538919662771078;0.2924182820469362;1.2275735157139522;0.20125772623273247;0.9898547376796002;0.16379712504045685;1.4188788940563568;0.23656310457707094;1.1528391013810968;0.1922075224696098;1.3203456375317375;0.22013511120391413;0.7949763649931898;0.13006952745541842;1.4484388710109313;0.24149150258912658;1.5863854301641849;0.26449069331200104;0.447225417725174;0.07553836111462166;1.3203456375031468;0.22013511120387172;1.4287322197032517;0.23820590391478086;1.2710268381808703;0.21186894347011237;1.202105729690161;0.2004215191557101;1.5666787788525125;0.26120509463703895;1.2021057296481652;0.20042151915596976;0.6235112420234783;0.10676871750099982
r_0017;1.1088214168529223e-16;0.0;-2.0160389397325853e-17;0.0;-2.7843513796646736e-13;0.0;-2.933722774807517e-28;0.0;0.0;0.0;-5.048903796350878e-14;0.0;-2.545020952299369e-16;0.0;0.0;0.0;-6.30012168666433e-18;0.0;2.0160389397325856e-17;0.0;3.0240584095988784e-17;0.0;-6.978652928377976e-28;0.0;1.3212312795431473e-12;0.0;-1.2600243373328662e-18;0.0;0.0;0.0;-4.3618010480584446e-13;0.0;-2.000487400003121e-12;0.0;4.4100851806650306e-18;0.0;-2.0160389397325853e-17;0.0;1.0080194698662928e-17;0.0;0.0;0.0;1.4668613874037585e-28;0.0;-2.0160389397325853e-17;0.0;0.0;0.0;-1.0080194698662928e-17;0.0;0.0;0.0;1.0080194698662928e-17;0.0;0.0;0.0;-2.0160389397325856e-17;0.0;4.262342021728744e-16;0.0;0.0;0.0
r_0018;1.4489355055893551;0.35134592906046047;1.6300524438326625;0.3952641701930617;0.4728784681003009;0.11463742574789444;1.3382529322415506;0.3245070039239598;1.3986888475185824;0.338937271451666;1.4388734534771248;0.3489060267757021;0.911766202392956;0.21815056721731999;1.6274322277340356;0.3853023133770356;1.3181288280375805;0.3196271993535402;1.5596180789713214;0.3781848541972619;1.6501765480151798;0.40014397476373403;1.579742183201652;0.3830646587677438;1.5133060155779094;0.3654911551828076;1.341633951843814;0.3268766702890167;1.791045277783774;0.43430260675575055;1.2516787516911974;0.2989100220436327;0.9904122573998516;0.2432731561317009;1.4489355056086144;0.3513459290604966;1.1772600982740424;0.285468567362752;1.3483149843965163;0.32694690620944594;0.7593344313357949;0.19318058514655295;1.4791216619753158;0.35866563591597317;1.6199903916960132;0.3928242679081198;0.45108148209752086;0.11219034224704057;1.348314984369899;0.32694690620938294;1.4589975577296117;0.3537858313461872;1.297927238779998;0.3146699098139396;1.2275703589254343;0.2976680787875673;1.5998662874471186;0.38794446333741844;1.2275703588865758;0.29766807878795304;0.6297215810929779;0.15857398520387214
r_0019;0.6549271137065088;0.0;0.7367930029298684;0.0;0.21376093294883114;0.0;0.6048979591710366;0.0;0.6323493369340102;0.0;0.6503790087423175;0.0;0.4138775510191283;0.0;0.7272244739230421;0.0;0.5958017492676234;0.0;0.7049562682326411;0.0;0.7458892128050361;0.0;0.7140524781364246;0.0;0.6809259171810839;0.0;0.6088417433281657;0.0;0.8095626822266244;0.0;0.5685131195433621;0.0;0.45758293411478146;0.0;0.6549271137059786;0.0;0.5321282798635437;0.0;0.6094460641352492;0.0;0.3683157409123916;0.0;0.6685714285747321;0.0;0.732244897969782;0.0;0.20945720830307885;0.0;0.6094460641488259;0.0;0.659475218658092;0.0;0.5867055393439959;0.0;0.5548688046715679;0.0;0.7231486880561587;0.0;0.5548688046459248;0.0;0.28906499116209655;0.0
r_0020;1.3976621963661142;0.0;1.5723699709425767;0.0;0.4561459590661707;0.0;1.290896334119816;0.0;0.0;0.0;1.3879562088944493;0.0;0.879622803657696;0.0;1.5447204673037316;0.0;1.2714843592001546;0.0;1.5044280586100174;0.0;1.5917819458784954;0.0;1.523840033566754;0.0;1.4561878094362823;0.0;1.3019148205659143;0.0;1.7276657704642628;0.0;1.37411566057054;0.44417903946534143;0.9792297723246243;0.0;1.3976621963500997;0.0;1.1356005345171658;0.0;1.3006023216105338;0.0;0.7794408793871832;0.0;1.4267801588177034;0.0;1.5626639834703802;0.0;0.4464344178877316;0.0;1.300602321619223;0.0;1.4073681838112664;0.0;1.253158173654071;0.0;1.1841304719000696;0.0;1.5432520085104242;0.0;1.184130471884492;0.0;0.6264399171551192;0.0
r_0021;0.0;0.0;-2.1538024250615989e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0769012125307994e-16;0.0
r_0022;0.0;0.0;-2.153802425061599e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0769012125307996e-16;0.0
r_0023;-0.36386769173131317;-1.6211811245685714;-0.40935115319780657;-1.8238287651162435;-0.11872303630912902;-0.5290961706349043;-0.33607224305752703;-1.497340899766857;-0.35101679684929804;-1.5649859530222414;-0.3613408327613752;-1.609922922309216;-0.2259253253781027;-1.0204775641843575;-0.39903426165258044;-1.8257376974446908;-0.3310185251167292;-1.4748244952787384;-0.3916631404055456;-1.7450213493536992;-0.4144048711389509;-1.846345169651772;-0.39671685834653136;-1.767537753868154;-0.3785170454093982;-1.678809156620747;-0.3385263629407944;-1.5011669613606693;-0.4497808967239484;-2.0039600011995473;-0.3095629997684423;-1.4009809102241808;-0.251943268614347;-1.1304000581884182;-0.3638676917314717;-1.6211811245725647;-0.2956424995328415;-1.3172096636964095;-0.33859910202828714;-1.5085991020230485;-0.20006542780369907;-0.869156336888485;-0.3714482686424546;-1.6549557313172556;-0.40682429422771005;-1.8125705628897637;-0.11618874018868978;-0.5145314666893925;-0.33859910202812854;-1.5085991020247167;-0.366394550702361;-1.6324393268102495;-0.32588456068784977;-1.4522278442458962;-0.30827679438379957;-1.373500674977272;-0.4017705762865658;-1.7900541583707503;-0.30827679438411665;-1.3735006749735243;-0.16422546895325846;-0.7213683260755374
r_0024;1.5365755352267496;0.0;1.7286474771158868;0.0;0.495796411651206;0.0;1.4191982373703946;0.0;1.4809526745250172;0.0;1.5259048717872221;0.0;0.9672412783140981;0.0;1.7133843584893609;0.0;1.3978569105255303;0.0;1.6539528330786417;0.0;1.7499888039977258;0.0;1.675294159949036;0.0;1.6047099712620425;0.0;1.4295863658278924;0.0;1.899378092135486;0.0;0.6326249097568393;0.0;1.0648837831845532;0.0;1.536575535215217;0.0;1.2484676223549753;0.0;1.4298689008229195;0.0;0.8613260996598529;0.0;1.5685875255478068;0.0;1.7179768137926668;0.0;0.490122783647717;0.0;1.4298689008237992;0.0;1.5472461986482895;0.0;1.3755223159440222;0.0;1.3018209395433282;0.0;1.6966354868353257;0.0;1.301296594247126;0.0;0.6941750864873153;0.0
r_0025;1.621181124571513;0.0;1.823828765127847;0.0;0.5290961706428295;0.0;1.4973408997496578;0.0;1.5649859530154766;0.0;1.6099229223159655;0.0;1.0204775641809145;0.0;1.8257376974413715;0.0;1.4748244952770793;0.0;1.7450213493885933;0.0;1.8463451696399467;0.0;1.7675377538884662;0.0;1.6788091565868315;0.0;1.5011669613607328;0.0;2.0039600011855385;0.0;1.4009809102261568;0.0;1.130400058168624;0.0;1.621181124559251;0.0;1.3172096636968986;0.0;1.508599102018033;0.0;0.8691563369294895;0.0;1.654955731337448;0.0;1.8125705630890872;0.0;0.5145314667351467;0.0;1.5085991020184397;0.0;1.6324393268069426;0.0;1.4522278442313221;0.0;1.373500674959033;0.0;1.7900541584046294;0.0;1.3735006749406122;0.0;0.7213683260937845;0.0
