R01231	r_0514	FALSO
R01229	r_0527	FALSO
R01226	r_0063	FALSO
R01224	r_0080	FALSO
R01220	r_0733	VERDADEIRO
R01220	r_0732	FALSO
R01218	r_0731	FALSO
R01214	r_1087	VERDADEIRO
R01214	r_1088	FALSO
R01213	r_0025	VERDADEIRO
R01213	r_0024	FALSO
R01185	r_0757	FALSO
R01159	r_0541	FALSO
R01158	r_0536	FALSO
R01137	r_0796	FALSO
R01135	r_0153	FALSO
R01132	r_0562	FALSO
R01130	r_0565	FALSO
R01127	r_0570	FALSO
R01126	r_0077	FALSO
R01123	r_0667	FALSO
R01121	r_0739	FALSO
R01092	r_0458	FALSO
R01090	r_0700	VERDADEIRO
R01090	r_0699	FALSO
R01086	r_0207	FALSO
R01083	r_0152	FALSO
R01082	r_0452	VERDADEIRO
R01082	r_0451	FALSO
R01074	r_0230	FALSO
R01073	r_0202	FALSO
R01072	r_0915	FALSO
R01071	r_0225	FALSO
R01041	r_0164	FALSO
R01030	r_0497	FALSO
R01021	r_0273	FALSO
R01018	r_0360	FALSO
R01013	r_0494	VERDADEIRO
R01013	r_0493	FALSO
R01011	r_0354	FALSO
R01009	r_0361	FALSO
R00987	r_0670	FALSO
R00986	r_0203	FALSO
R00968	r_1078	FALSO
R00966	r_1074	FALSO
R00965	r_0821	FALSO
R00964	r_1077	FALSO
R00963	r_0078	FALSO
R00961	r_0793	FALSO
R00955	r_1071	FALSO
R00946	r_0727	FALSO
R00945	r_0503	VERDADEIRO
R00945	r_0502	FALSO
R00943	r_0446	VERDADEIRO
R00943	r_0447	FALSO
R00942	r_1031	FALSO
R00939	r_0345	VERDADEIRO
R00939	r_0344	FALSO
R00931	r_0028	FALSO
R00897	r_0312	FALSO
R00894	r_0460	FALSO
R00885	r_0722	FALSO
R00875	r_0323	FALSO
R00851	r_0496	VERDADEIRO
R00851	r_0495	FALSO
R00848	r_0490	FALSO
R00847	r_0488	FALSO
R00842	r_0492	VERDADEIRO
R00842	r_0491	FALSO
R00841	r_0489	FALSO
R00836	r_0195	FALSO
R00835	r_0466	FALSO
R00830	r_0081	FALSO
R00801	r_1024	FALSO
R00774	r_1075	FALSO
R00772	r_0723	FALSO
R00771	r_0467	FALSO
R00768	r_0477	FALSO
R00763	r_0448	FALSO
R00762	r_0449	FALSO
R00760	r_0533	FALSO
R00756	r_0886	FALSO
R00754	r_2115	VERDADEIRO
R00754	r_0165	VERDADEIRO
R00754	r_0163	FALSO
R00751	r_1040	FALSO
R00742	r_0108	VERDADEIRO
R00742	r_0109	FALSO
R00734	r_1063	VERDADEIRO
R00734	r_1065	VERDADEIRO
R00734	r_2119	FALSO
R00722	r_0801	FALSO
R00715	r_0988	FALSO
R00714	r_1023	FALSO
R00711	r_2116	VERDADEIRO
R00711	r_0173	VERDADEIRO
R00711	r_0175	FALSO
R00710	r_0174	FALSO
R00709	r_0658	FALSO
R00694	r_2117	VERDADEIRO
R00694	r_0851	FALSO
R00684	r_2118	VERDADEIRO
R00684	r_1056	FALSO
R00678	r_0694	FALSO
R00658	r_0366	FALSO
R00651	r_0812	FALSO
R00650	r_0544	FALSO
R00619	r_1034	FALSO
R00616	r_1035	FALSO
R00586	r_0992	FALSO
R00582	r_0917	FALSO
R00578	r_0211	FALSO
R00575	r_0250	FALSO
R00573	r_0306	FALSO
R00570	r_0795	FALSO
R00569	r_0806	FALSO
R00549	r_0966	VERDADEIRO
R00549	r_0965	FALSO
R00548	r_0116	FALSO
R00530	r_1026	FALSO
R00529	r_1025	FALSO
R00527	r_0987	FALSO
R00519	r_0445	FALSO
R00517	r_0315	FALSO
R00514	r_0792	FALSO
R00511	r_0076	FALSO
R00509	r_0154	FALSO
R00502	r_0459	FALSO
R00497	r_0485	FALSO
R00480	r_0215	FALSO
R00479	r_0662	FALSO
R00472	r_0716	VERDADEIRO
R00472	r_0717	FALSO
R00425	r_0525	FALSO
R00424	r_0524	FALSO
R00416	r_1069	FALSO
R00409	r_0734	FALSO
R00408	r_0455	VERDADEIRO
R00408	r_0454	FALSO
R00405	r_1022	FALSO
R00371	r_0500	FALSO
R00369	r_0156	FALSO
R00355	r_0218	VERDADEIRO
R00355	r_0217	VERDADEIRO
R00355	r_0216	FALSO
R00344	r_0958	FALSO
R00342	r_0713	VERDADEIRO
R00342	r_0714	VERDADEIRO
R00342	r_0715	FALSO
R00341	r_0884	FALSO
R00332	r_0528	FALSO
R00330	r_0800	FALSO
R00328	r_0810	VERDADEIRO
R00328	r_0789	FALSO
R00310	r_0436	FALSO
R00308	r_0370	FALSO
R00299	r_0534	FALSO
R00289	r_1084	FALSO
R00278	r_0955	FALSO
R00274	r_0484	VERDADEIRO
R00274	r_0483	FALSO
R00271	r_0543	FALSO
R00267	r_2131	VERDADEIRO
R00267	r_0661	FALSO
R00261	r_0469	FALSO
R00259	r_0761	FALSO
R00258	r_0674	FALSO
R00239	r_0468	FALSO
R00235	r_0114	VERDADEIRO
R00235	r_0113	VERDADEIRO
R00235	r_0112	FALSO
R00227	r_0111	FALSO
R00224	r_0959	FALSO
R00214	r_0718	FALSO
R00209	r_0961	FALSO
R00200	r_0962	FALSO
R00197	r_0001	VERDADEIRO
R00197	r_0002	VERDADEIRO
R00197	r_2125	FALSO
R00196	r_0004	FALSO
R00192	r_0144	FALSO
R00191	r_0033	FALSO
R00190	r_0139	FALSO
R00188	r_0032	FALSO
R00185	r_0142	FALSO
R00178	r_0145	FALSO
R00177	r_0726	FALSO
R00161	r_0440	FALSO
R00159	r_0805	FALSO
R00158	r_1073	VERDADEIRO
R00158	r_1072	FALSO
R00156	r_0811	FALSO
R00155	r_0790	VERDADEIRO
R00155	r_0791	FALSO
R00137	r_0784	VERDADEIRO
R00137	r_0783	FALSO
R00130	r_0334	FALSO
R00127	r_0149	VERDADEIRO
R00127	r_0148	FALSO
R00126	r_0222	FALSO
R00125	r_0204	FALSO
R00122	r_0788	FALSO
R00115	r_0482	VERDADEIRO
R00115	r_0481	FALSO
R00105	r_0771	VERDADEIRO
R00105	r_0772	FALSO
R00104	r_0765	VERDADEIRO
R00104	r_0766	FALSO
R00102	r_0767	FALSO
R00093	r_0472	FALSO
R00089	r_0147	FALSO
R00081	r_0438	FALSO
R00066	r_0968	FALSO
R00036	r_0935	FALSO
R00017	r_0437	FALSO
R00006	r_0097	FALSO
R01786	r_0534	FALSO
R00217	r_0958	FALSO
R00351	r_0300	FALSO
R00406	r_1022	FALSO
R00402	r_0454	FALSO
R01015	r_1054	FALSO
R01061	r_0486	FALSO
R01070	r_0450	FALSO
R01324	r_0302	VERDADEIRO
R01324	r_0280	FALSO
R01641	r_1049	FALSO
R01827	r_1048	FALSO
R01830	r_1050	FALSO
R02736	r_0466	FALSO
R02740	r_0467	FALSO
R04779	r_0886	FALSO
R08549	r_0832	FALSO
R00229	r_0112	FALSO
R01056	r_0982	FALSO
