Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YAL012W;CYS3;Verified;CYStathionine gamma-lyase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YAL044C;GCV3;Verified;GlyCine cleaVage;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YAL044C;GCV3;Verified;GlyCine cleaVage;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YBL033C;RIB1;Verified;RIBoflavin biosynthesis;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBL039C;URA7;Verified;URAcil requiring;null;Respiratory growth;increased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Respiratory growth;decreased rate;S288C;ethanol, glycerol;;ethanol, glycerol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YBL045C;COR1;Verified;CORe protein of QH2 cytochrome c reductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YBL099W;ATP1;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBL099W;ATP1;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YBR003W;COQ1;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBR003W;COQ1;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YBR003W;COQ1;Verified;COenzyme Q;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBR026C;ETR1;Verified;2-Enoyl Thioester Reductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YBR035C;PDX3;Verified;PyriDoXine auxotrophy;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBR039W;ATP3;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YBR084W;MIS1;Verified;MItochondrial C1-tetrahydrofolate Synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBR097W;VPS15;Verified;Vacuolar Protein Sorting;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBR127C;VMA2;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YBR221C;PDB1;Verified;Pyruvate Dehydrogenase Beta subunit;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YBR221C;PDB1;Verified;Pyruvate Dehydrogenase Beta subunit;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YCR024C;SLM5;Verified;Synthetic Lethal with Mss4;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YCR053W;THR4;Verified;THReonine requiring;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YEL013W;VAC8;Verified;VACuole related;null;Respiratory growth;increased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YEL024W;RIP1;Verified;Rieske Iron-sulfur Protein;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YEL024W;RIP1;Verified;Rieske Iron-sulfur Protein;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YEL024W;RIP1;Verified;Rieske Iron-sulfur Protein;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YEL027W;VMA3;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YEL027W;VMA3;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YEL029C;BUD16;Verified;BUD site selection;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YEL051W;VMA8;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YEL051W;VMA8;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YEL053C;MAK10;Verified;MAintenance of Killer;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YER014W;HEM14;Verified;HEMe biosynthesis;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YER014W;HEM14;Verified;HEMe biosynthesis;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YER056C;FCY2;Verified;FluoroCYtosine resistance;null;Respiratory growth;absent;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654;
YER061C;CEM1;Verified;Condensing Enzyme with Mitochondrial function;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YER061C;CEM1;Verified;Condensing Enzyme with Mitochondrial function;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YER070W;RNR1;Verified;RiboNucleotide Reductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YER087W;AIM10;Verified;Altered Inheritance rate of Mitochondria;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YER087W;AIM10;Verified;Altered Inheritance rate of Mitochondria;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YER141W;COX15;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YER141W;COX15;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YER141W;COX15;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654 + 11907266;
YER178W;PDA1;Verified;Pyruvate Dehydrogenase Alpha;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YER178W;PDA1;Verified;Pyruvate Dehydrogenase Alpha;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YHL011C;PRS3;Verified;PhosphoRibosylpyrophosphate Synthetase;null;Respiratory growth;decreased;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654;
YHR002W;LEU5;Verified;LEUcine biosynthesis;null;Respiratory growth;absent;S288C;glycerol (3%);;glycerol;YPD;;glucose;;nonfermentable carbon source;;24296033;
YHR011W;DIA4;Verified;Digs Into Agar;null;Respiratory growth;absent;S288C;;;ethanol, glycerol;YPD;;glucose;;nonfermentable carbon source (ethanol and glycerol);;11747308;
YHR011W;DIA4;Verified;Digs Into Agar;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR013C;ARD1;Verified;ARrest Defective;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR025W;THR1;Verified;THReonine requiring;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR026W;VMA16;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR051W;COX6;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR051W;COX6;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654 + 11907266 + 19751518;
YHR067W;HTD2;Verified;Hydroxyacyl-Thioester Dehydratase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR067W;HTD2;Verified;Hydroxyacyl-Thioester Dehydratase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YHR091C;MSR1;Verified;Mitochondrial tRNA Synthetase aRginine;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR091C;MSR1;Verified;Mitochondrial tRNA Synthetase aRginine;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YHR100C;GEP4;Verified;GEnetic interactors of Prohibitins;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YIL124W;AYR1;Verified;1-AcyldihYdroxyacetone-phosphate Reductase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YIL125W;KGD1;Verified;alpha-KetoGlutarate Dehydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YIL155C;GUT2;Verified;Glycerol UTilization;null;Respiratory growth;decreased;S288C (BY4742);glycerol;;glycerol;YPD;YOR202W, YCL018W, YEL021W, YBR115C;glucose;glycerol, histidine, leucine, uracil, lysine;;;23198688;
YKL016C;ATP7;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YKL016C;ATP7;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;ethanol, glycerol;;glycerol, ethanol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YKL016C;ATP7;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YKL055C;OAR1;Verified;3-Oxoacyl-[Acyl-carrier-protein] Reductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YKL055C;OAR1;Verified;3-Oxoacyl-[Acyl-carrier-protein] Reductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YKL080W;VMA5;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YKL080W;VMA5;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YKL085W;MDH1;Verified;Malate DeHydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YKL106W;AAT1;Verified;Aspartate AminoTransferase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YKL148C;SDH1;Verified;Succinate DeHydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YKL148C;SDH1;Verified;Succinate DeHydrogenase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19300474;
YKL174C;TPO5;Verified;Transporter of POlyamines;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YKL194C;MST1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Threonine;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;19751518;
YKL212W;SAC1;Verified;Suppressor of ACtin;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YFL018C;LPD1;Verified;LiPoamide Dehydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YFL018C;LPD1;Verified;LiPoamide Dehydrogenase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YFL018C;LPD1;Verified;LiPoamide Dehydrogenase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YFR019W;FAB1;Verified;Forms Aploid and Binucleate cells;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YFR019W;FAB1;Verified;Forms Aploid and Binucleate cells;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YFR033C;QCR6;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YFR033C;QCR6;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YHR039C-A;VMA10;Verified;;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YHR039C-A;VMA10;Verified;;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YDL067C;COX9;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDL067C;COX9;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YDL067C;COX9;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YDL142C;CRD1;Verified;CaRDiolipin synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDL185W;VMA1;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDL185W;VMA1;Verified;Vacuolar Membrane Atpase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YDL198C;GGC1;Verified;GDP/GTP Carrier;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDL198C;GGC1;Verified;GDP/GTP Carrier;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YDR148C;KGD2;Verified;alpha-KetoGlutarate Dehydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR148C;KGD2;Verified;alpha-KetoGlutarate Dehydrogenase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YDR178W;SDH4;Verified;Succinate DeHydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR178W;SDH4;Verified;Succinate DeHydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YDR204W;COQ4;Verified;COenzyme Q;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR204W;COQ4;Verified;COenzyme Q;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YDR226W;ADK1;Verified;ADenylate Kinase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YDR264C;AKR1;Verified;AnKyrin Repeat containing;null;Respiratory growth;absent;S288C (BY4743);glycerol;;glycerol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;;;15509654;
YDR268W;MSW1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W);null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR268W;MSW1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W);null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YDR298C;ATP5;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR298C;ATP5;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YDR377W;ATP17;Verified;ATP synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR377W;ATP17;Verified;ATP synthase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Respiratory growth;decreased rate;S288C;ethanol, glycerol;;glycerol, ethanol;YNBD;;riboflavin, ammonium, folic acid, uracil, glucose;adenine, glutamate, alanine, arginine, asparagine, aspartate, cysteine, glutamine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, valine;;;23021432;
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YGL084C;GUP1;Verified;Glycerol UPtake;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YGL084C;GUP1;Verified;Glycerol UPtake;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YGR036C;CAX4;Verified;CAlmodulin-dependent in cmd one two twenty-siX;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YGR155W;CYS4;Verified;CYStathionine beta-synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YGR171C;MSM1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Methionine;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YGR171C;MSM1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, Methionine;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518 + 15509654;
YGR180C;RNR4;Verified;RiboNucleotide Reductase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YGR180C;RNR4;Verified;RiboNucleotide Reductase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
