Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type
YMR054W;STV1;Verified;Similar To VPH1;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YMR054W;STV1;Verified;Similar To VPH1;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266;
YMR202W;ERG2;Verified;ERGosterol biosynthesis;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YMR207C;HFA1;Verified;;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YMR207C;HFA1;Verified;;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YMR256C;COX7;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YMR256C;COX7;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YMR267W;PPA2;Verified;PyroPhosphatAse;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YMR293C;HER2;Verified;Hmg2p ER Remodeling;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNL003C;PET8;Verified;PETite colonies;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNL003C;PET8;Verified;PETite colonies;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 14609944;
YNL009W;IDP3;Verified;Isocitrate Dehydrogenase, NADP-dependent;null;Respiratory growth;increased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YNL037C;IDH1;Verified;Isocitrate DeHydrogenase;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;nonfermentable carbon source (2% glycerol);;19300474;
YNL052W;COX5A;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNL052W;COX5A;Verified;Cytochrome c OXidase;null;Respiratory growth;decreased rate;S288C (BY4743);ethanol (2%), glycerol (2%);;glycerol, ethanol;YPD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;glucose;histidine, leucine, methionine, uracil, lysine;YEP (non-fermentable carbon source);;16738548;
YNL052W;COX5A;Verified;Cytochrome c OXidase;null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YNL071W;LAT1;Verified;;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNL073W;MSK1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, lysine (K);null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
YNL073W;MSK1;Verified;Mitochondrial aminoacyl-tRNA Synthetase, lysine (K);null;Respiratory growth;absent;S288C;;;glycerol;YPD;;glucose;;glycerol carbon source;;11907266 + 19751518;
YNL106C;INP52;Verified;INositol polyphosphate 5-Phosphatase;null;Respiratory growth;decreased rate;S288C;;;glycerol;YPD;;glucose;;nonfermentable carbon source (2% glycerol);;19300474;
YNL117W;MLS1;Verified;MaLate Synthase;null;Respiratory growth;decreased rate;S288C;;;glycerol, ethanol, lactate;YPD;;glucose;;glycerol, ethanol, lactate medium;;12134146;
